Celsius,Fahrenheit,Humidity
27.22222,80.999996,43.93222442
26.66668,80.000024,43.93831539
26.66668,80.000024,42.9465597
27.22222,80.999996,42.94433705
26.66668,80.000024,42.9465597
27.22222,80.999996,42.94433705
27.22222,80.999996,42.94433705
27.22222,80.999996,42.94433705
27.22222,80.999996,42.94433705
27.22222,80.999996,41.94577472
27.22222,80.999996,42.94433705
27.22222,80.999996,41.94577472
27.22222,80.999996,41.94577472
27.22222,80.999996,42.94433705
27.22222,80.999996,41.94577472
27.22222,80.999996,42.94433705
27.22222,80.999996,42.94433705
27.22222,80.999996,41.94577472
26.66668,80.000024,43.93831539
27.22222,80.999996,42.94433705
26.66668,80.000024,43.93831539
26.1111,78.99998,44.94465027
26.1111,78.99998,46.9367553
25,77,47.94020036
25,77,49.93930437
24.44445,76.00001,50.95819921
23.88888,74.999984,51.94781982
23.88888,74.999984,52.95238201
23.33334,74.000012,53.9495014
22.77776,72.999968,55.9551329
22.22222,71.999996,56.9616182
22.22222,71.999996,57.95964615
21.66668,71.000024,58.96794955
21.1111,69.99998,61.96607614
20.55557,69.000026,62.97071994
20,68,64.9574099
19.44445,67.00001,66.96781663
18.88888,65.999984,68.97536972
18.33334,65.000012,69.97697457
18.33334,65.000012,70.97579988
17.77776,63.999968,71.99017725
17.77776,63.999968,72.96531506
17.22222,62.999996,73.990705
17.22222,62.999996,73.990705
17.22222,62.999996,74.99391094
16.66668,62.000024,75.97442348
16.66668,62.000024,75.97442348
16.66668,62.000024,76.97765366
16.1111,60.99998,76.97517918
16.1111,60.99998,77.99418929
16.1111,60.99998,77.99418929
16.1111,60.99998,77.99418929
16.1111,60.99998,77.99418929
15.55557,60.000026,78.97365605
15.55557,60.000026,78.97365605
16.1111,60.99998,78.99654951
16.1111,60.99998,78.99654951
15.55557,60.000026,77.99594183
15.55557,60.000026,78.97365605
15.55557,60.000026,78.97365605
15.55557,60.000026,78.97365605
15.55557,60.000026,79.99114592
15.55557,60.000026,80.99084272
16.1111,60.99998,81.9822349
16.1111,60.99998,81.9822349
16.1111,60.99998,82.99939665
16.1111,60.99998,82.99939665
16.1111,60.99998,82.99939665
